sampleid,bleach,geno,rep,bleach-geno,geno-bleach,type,geno.num,bleach.status,disease,bleach-type
Acropora.cervicornis.Aug10A,Aug,G10,A,AugG10,G10Aug,susceptible,10,PreBleach,0.8,Augsusceptible
Acropora.cervicornis.Aug10B,Aug,G10,B,AugG10,G10Aug,susceptible,10,PreBleach,0.8,Augsusceptible
Acropora.cervicornis.Aug13A,Aug,G13,A,AugG13,G13Aug,susceptible,13,PreBleach,0.285714286,Augsusceptible
Acropora.cervicornis.Aug13B,Aug,G13,B,AugG13,G13Aug,susceptible,13,PreBleach,0.285714286,Augsusceptible
Acropora.cervicornis.Aug1A,Aug,G1,A,AugG1,G1Aug,susceptible,1,PreBleach,0,Augsusceptible
Acropora.cervicornis.Aug1B,Aug,G1,B,AugG1,G1Aug,susceptible,1,PreBleach,0,Augsusceptible
Acropora.cervicornis.Aug20A,Aug,G20,A,AugG20,G20Aug,susceptible,20,PreBleach,NA,Augsusceptible
Acropora.cervicornis.Aug20B,Aug,G20,B,AugG20,G20Aug,susceptible,20,PreBleach,NA,Augsusceptible
Acropora.cervicornis.Aug3A,Aug,G3,A,AugG3,G3Aug,resistant,3,PreBleach,0,Augresistant
Acropora.cervicornis.Aug3B,Aug,G3,B,AugG3,G3Aug,resistant,3,PreBleach,0,Augresistant
Acropora.cervicornis.Aug41A,Aug,G41,A,AugG41,G41Aug,susceptible,41,PreBleach,0,Augsusceptible
Acropora.cervicornis.Aug41B,Aug,G41,B,AugG41,G41Aug,susceptible,41,PreBleach,0,Augsusceptible
Acropora.cervicornis.Aug44A,Aug,G44,A,AugG44,G44Aug,susceptible,44,PreBleach,0,Augsusceptible
Acropora.cervicornis.Aug44B,Aug,G44,B,AugG44,G44Aug,susceptible,44,PreBleach,0,Augsusceptible
Acropora.cervicornis.Aug46A,Aug,G46,A,AugG46,G46Aug,susceptible,46,PreBleach,0.714285714,Augsusceptible
Acropora.cervicornis.Aug46B,Aug,G46,B,AugG46,G46Aug,susceptible,46,PreBleach,0.714285714,Augsusceptible
Acropora.cervicornis.Aug47A,Aug,G47,A,AugG47,G47Aug,susceptible,47,PreBleach,0.2,Augsusceptible
Acropora.cervicornis.Aug47B,Aug,G47,B,AugG47,G47Aug,susceptible,47,PreBleach,0.2,Augsusceptible
Acropora.cervicornis.Aug4A,Aug,G4,A,AugG4,G4Aug,susceptible,4,PreBleach,0.285714286,Augsusceptible
Acropora.cervicornis.Aug4B,Aug,G4,B,AugG4,G4Aug,susceptible,4,PreBleach,0.285714286,Augsusceptible
Acropora.cervicornis.Aug50A,Aug,G50,A,AugG50,G50Aug,susceptible,50,PreBleach,0.2,Augsusceptible
Acropora.cervicornis.Aug50B,Aug,G50,B,AugG50,G50Aug,susceptible,50,PreBleach,0.2,Augsusceptible
Acropora.cervicornis.Aug57A,Aug,G57,A,AugG57,G57Aug,susceptible,57,PreBleach,0.2,Augsusceptible
Acropora.cervicornis.Aug57B,Aug,G57,B,AugG57,G57Aug,susceptible,57,PreBleach,0.2,Augsusceptible
Acropora.cervicornis.Aug58A,Aug,G58,A,AugG58,G58Aug,susceptible,58,PreBleach,0.4,Augsusceptible
Acropora.cervicornis.Aug58B,Aug,G58,B,AugG58,G58Aug,susceptible,58,PreBleach,0.4,Augsusceptible
Acropora.cervicornis.Aug5A,Aug,G5,A,AugG5,G5Aug,susceptible,5,PreBleach,0.142857143,Augsusceptible
Acropora.cervicornis.Aug5B,Aug,G5,B,AugG5,G5Aug,susceptible,5,PreBleach,0.142857143,Augsusceptible
Acropora.cervicornis.Aug7A,Aug,G7,A,AugG7,G7Aug,resistant,7,PreBleach,0.285714286,Augresistant
Acropora.cervicornis.Aug7B,Aug,G7,B,AugG7,G7Aug,resistant,7,PreBleach,0.285714286,Augresistant
Acropora.cervicornis.Aug9A,Aug,G9,A,AugG9,G9Aug,susceptible,9,PreBleach,0.571428571,Augsusceptible
Acropora.cervicornis.Aug9B,Aug,G9,B,AugG9,G9Aug,susceptible,9,PreBleach,0.571428571,Augsusceptible
Acropora.cervicornis.Sep10A,Sep,G10,A,SepG10,G10Sep,susceptible,10,Bleached,0.8,Sepsusceptible
Acropora.cervicornis.Sep10B,Sep,G10,B,SepG10,G10Sep,susceptible,10,Bleached,0.8,Sepsusceptible
Acropora.cervicornis.Sep13A,Sep,G13,A,SepG13,G13Sep,susceptible,13,Bleached,0.8,Sepsusceptible
Acropora.cervicornis.Sep13B,Sep,G13,B,SepG13,G13Sep,susceptible,13,Bleached,0.8,Sepsusceptible
Acropora.cervicornis.Sep1A,Sep,G1,A,SepG1,G1Sep,susceptible,1,Bleached,0.8,Sepsusceptible
Acropora.cervicornis.Sep1B,Sep,G1,B,SepG1,G1Sep,susceptible,1,Bleached,0.8,Sepsusceptible
Acropora.cervicornis.Sep3A,Sep,G3,A,SepG3,G3Sep,resistant,3,Bleached,0,Sepresistant
Acropora.cervicornis.Sep3B,Sep,G3,B,SepG3,G3Sep,resistant,3,Bleached,0,Sepresistant
Acropora.cervicornis.Sep41A,Sep,G41,A,SepG41,G41Sep,susceptible,41,Bleached,0.8,Sepsusceptible
