"reads.in"	"reads.out"
"Acropora.cervicornis.Aug10A_F_filt.fastq.gz"	98841	89440
"Acropora.cervicornis.Aug10B_F_filt.fastq.gz"	74847	67312
"Acropora.cervicornis.Aug13A_F_filt.fastq.gz"	39760	35116
"Acropora.cervicornis.Aug13B_F_filt.fastq.gz"	70514	63164
"Acropora.cervicornis.Aug1A_F_filt.fastq.gz"	93307	84866
"Acropora.cervicornis.Aug1B_F_filt.fastq.gz"	79943	73000
"Acropora.cervicornis.Aug20A_F_filt.fastq.gz"	87772	80773
"Acropora.cervicornis.Aug20B_F_filt.fastq.gz"	97965	88906
"Acropora.cervicornis.Aug3A_F_filt.fastq.gz"	30132	25632
"Acropora.cervicornis.Aug3B_F_filt.fastq.gz"	20924	18053
"Acropora.cervicornis.Aug41A_F_filt.fastq.gz"	69508	63112
"Acropora.cervicornis.Aug41B_F_filt.fastq.gz"	92380	83430
"Acropora.cervicornis.Aug44A_F_filt.fastq.gz"	85482	77655
"Acropora.cervicornis.Aug44B_F_filt.fastq.gz"	76542	69215
"Acropora.cervicornis.Aug46A_F_filt.fastq.gz"	80565	73599
"Acropora.cervicornis.Aug46B_F_filt.fastq.gz"	95866	87066
"Acropora.cervicornis.Aug47A_F_filt.fastq.gz"	80572	73360
"Acropora.cervicornis.Aug47B_F_filt.fastq.gz"	72278	65266
"Acropora.cervicornis.Aug4A_F_filt.fastq.gz"	97657	88422
"Acropora.cervicornis.Aug4B_F_filt.fastq.gz"	97116	88262
"Acropora.cervicornis.Aug50A_F_filt.fastq.gz"	66657	58478
"Acropora.cervicornis.Aug50B_F_filt.fastq.gz"	51292	45819
"Acropora.cervicornis.Aug57A_F_filt.fastq.gz"	57673	50745
"Acropora.cervicornis.Aug57B_F_filt.fastq.gz"	48712	43432
"Acropora.cervicornis.Aug58A_F_filt.fastq.gz"	60797	54828
"Acropora.cervicornis.Aug58B_F_filt.fastq.gz"	60427	53928
"Acropora.cervicornis.Aug5A_F_filt.fastq.gz"	103208	92835
"Acropora.cervicornis.Aug5B_F_filt.fastq.gz"	83270	76000
"Acropora.cervicornis.Aug7A_F_filt.fastq.gz"	27906	24080
"Acropora.cervicornis.Aug7B_F_filt.fastq.gz"	15932	13724
"Acropora.cervicornis.Aug9A_F_filt.fastq.gz"	97692	88146
"Acropora.cervicornis.Aug9B_F_filt.fastq.gz"	48358	43009
"Acropora.cervicornis.Sep10A_F_filt.fastq.gz"	19724	16972
"Acropora.cervicornis.Sep10B_F_filt.fastq.gz"	77572	65940
"Acropora.cervicornis.Sep13A_F_filt.fastq.gz"	33284	28620
"Acropora.cervicornis.Sep13B_F_filt.fastq.gz"	38520	33143
"Acropora.cervicornis.Sep1A_F_filt.fastq.gz"	29737	25854
"Acropora.cervicornis.Sep1B_F_filt.fastq.gz"	25681	22467
"Acropora.cervicornis.Sep3A_F_filt.fastq.gz"	15472	12903
"Acropora.cervicornis.Sep3B_F_filt.fastq.gz"	23938	20551
"Acropora.cervicornis.Sep41A_F_filt.fastq.gz"	34070	29511
"Acropora.cervicornis.Sep41B_F_filt.fastq.gz"	67587	57848
"Acropora.cervicornis.Sep44A_F_filt.fastq.gz"	65140	57527
"Acropora.cervicornis.Sep44B_F_filt.fastq.gz"	55040	47121
"Acropora.cervicornis.Sep46A_F_filt.fastq.gz"	53397	46229
"Acropora.cervicornis.Sep46B_F_filt.fastq.gz"	38461	32877
"Acropora.cervicornis.Sep47A_F_filt.fastq.gz"	45452	39793
"Acropora.cervicornis.Sep47B_F_filt.fastq.gz"	98162	85686
"Acropora.cervicornis.Sep4A_F_filt.fastq.gz"	16310	13991
"Acropora.cervicornis.Sep4B_F_filt.fastq.gz"	20537	17466
"Acropora.cervicornis.Sep50A_F_filt.fastq.gz"	41447	35939
"Acropora.cervicornis.Sep50B_F_filt.fastq.gz"	47338	41087
"Acropora.cervicornis.Sep57A_F_filt.fastq.gz"	52690	45706
"Acropora.cervicornis.Sep57B_F_filt.fastq.gz"	41683	35715
"Acropora.cervicornis.Sep58A_F_filt.fastq.gz"	32975	28630
"Acropora.cervicornis.Sep58B_F_filt.fastq.gz"	24133	20796
"Acropora.cervicornis.Sep5A_F_filt.fastq.gz"	35517	30447
"Acropora.cervicornis.Sep5B_F_filt.fastq.gz"	34810	29927
"Acropora.cervicornis.Sep7A_F_filt.fastq.gz"	55246	47410
"Acropora.cervicornis.Sep7B_F_filt.fastq.gz"	29656	25329
"Acropora.cervicornis.Sep9A_F_filt.fastq.gz"	31803	27331
"Acropora.cervicornis.Sep9B_F_filt.fastq.gz"	30251	25939
