"reads.in"	"reads.out"
"Acropora.cervicornis.Aug10A_F_filt.fastq.gz"	98841	98841
"Acropora.cervicornis.Aug10B_F_filt.fastq.gz"	74847	74847
"Acropora.cervicornis.Aug13A_F_filt.fastq.gz"	39760	39760
"Acropora.cervicornis.Aug13B_F_filt.fastq.gz"	70514	70514
"Acropora.cervicornis.Aug1A_F_filt.fastq.gz"	93307	93307
"Acropora.cervicornis.Aug1B_F_filt.fastq.gz"	79943	79943
"Acropora.cervicornis.Aug20A_F_filt.fastq.gz"	87772	87772
"Acropora.cervicornis.Aug20B_F_filt.fastq.gz"	97965	97965
"Acropora.cervicornis.Aug3A_F_filt.fastq.gz"	30132	30132
"Acropora.cervicornis.Aug3B_F_filt.fastq.gz"	20924	20924
"Acropora.cervicornis.Aug41A_F_filt.fastq.gz"	69508	69508
"Acropora.cervicornis.Aug41B_F_filt.fastq.gz"	92380	92380
"Acropora.cervicornis.Aug44A_F_filt.fastq.gz"	85482	85482
"Acropora.cervicornis.Aug44B_F_filt.fastq.gz"	76542	76542
"Acropora.cervicornis.Aug46A_F_filt.fastq.gz"	80565	80565
"Acropora.cervicornis.Aug46B_F_filt.fastq.gz"	95866	95866
"Acropora.cervicornis.Aug47A_F_filt.fastq.gz"	80572	80572
"Acropora.cervicornis.Aug47B_F_filt.fastq.gz"	72278	72278
"Acropora.cervicornis.Aug4A_F_filt.fastq.gz"	97657	97657
"Acropora.cervicornis.Aug4B_F_filt.fastq.gz"	97116	97116
"Acropora.cervicornis.Aug50A_F_filt.fastq.gz"	66657	66657
"Acropora.cervicornis.Aug50B_F_filt.fastq.gz"	51292	51292
"Acropora.cervicornis.Aug57A_F_filt.fastq.gz"	57673	57673
"Acropora.cervicornis.Aug57B_F_filt.fastq.gz"	48712	48712
"Acropora.cervicornis.Aug58A_F_filt.fastq.gz"	60797	60797
"Acropora.cervicornis.Aug58B_F_filt.fastq.gz"	60427	60427
"Acropora.cervicornis.Aug5A_F_filt.fastq.gz"	103208	103208
"Acropora.cervicornis.Aug5B_F_filt.fastq.gz"	83270	83270
"Acropora.cervicornis.Aug7A_F_filt.fastq.gz"	27906	27906
"Acropora.cervicornis.Aug7B_F_filt.fastq.gz"	15932	15932
"Acropora.cervicornis.Aug9A_F_filt.fastq.gz"	97692	97692
"Acropora.cervicornis.Aug9B_F_filt.fastq.gz"	48358	48358
"Acropora.cervicornis.Sep10A_F_filt.fastq.gz"	19724	19724
"Acropora.cervicornis.Sep10B_F_filt.fastq.gz"	77572	77572
"Acropora.cervicornis.Sep13A_F_filt.fastq.gz"	33284	33284
"Acropora.cervicornis.Sep13B_F_filt.fastq.gz"	38520	38520
"Acropora.cervicornis.Sep1A_F_filt.fastq.gz"	29737	29737
"Acropora.cervicornis.Sep1B_F_filt.fastq.gz"	25681	25681
"Acropora.cervicornis.Sep3A_F_filt.fastq.gz"	15472	15472
"Acropora.cervicornis.Sep3B_F_filt.fastq.gz"	23938	23938
"Acropora.cervicornis.Sep41A_F_filt.fastq.gz"	34070	34070
"Acropora.cervicornis.Sep41B_F_filt.fastq.gz"	67587	67587
"Acropora.cervicornis.Sep44A_F_filt.fastq.gz"	65140	65140
"Acropora.cervicornis.Sep44B_F_filt.fastq.gz"	55040	55040
"Acropora.cervicornis.Sep46A_F_filt.fastq.gz"	53397	53397
"Acropora.cervicornis.Sep46B_F_filt.fastq.gz"	38461	38461
"Acropora.cervicornis.Sep47A_F_filt.fastq.gz"	45452	45452
"Acropora.cervicornis.Sep47B_F_filt.fastq.gz"	98162	98162
"Acropora.cervicornis.Sep4A_F_filt.fastq.gz"	16310	16310
"Acropora.cervicornis.Sep4B_F_filt.fastq.gz"	20537	20537
"Acropora.cervicornis.Sep50A_F_filt.fastq.gz"	41447	41447
"Acropora.cervicornis.Sep50B_F_filt.fastq.gz"	47338	47338
"Acropora.cervicornis.Sep57A_F_filt.fastq.gz"	52690	52690
"Acropora.cervicornis.Sep57B_F_filt.fastq.gz"	41683	41683
"Acropora.cervicornis.Sep58A_F_filt.fastq.gz"	32975	32975
"Acropora.cervicornis.Sep58B_F_filt.fastq.gz"	24133	24133
"Acropora.cervicornis.Sep5A_F_filt.fastq.gz"	35517	35517
"Acropora.cervicornis.Sep5B_F_filt.fastq.gz"	34810	34810
"Acropora.cervicornis.Sep7A_F_filt.fastq.gz"	55246	55246
"Acropora.cervicornis.Sep7B_F_filt.fastq.gz"	29656	29656
"Acropora.cervicornis.Sep9A_F_filt.fastq.gz"	31803	31803
"Acropora.cervicornis.Sep9B_F_filt.fastq.gz"	30251	30251
