"reads.in"	"reads.out"
"Acropora.cervicornis.Aug10A_R1.fq"	102469	98841
"Acropora.cervicornis.Aug10B_R1.fq"	78337	74847
"Acropora.cervicornis.Aug13A_R1.fq"	43472	39760
"Acropora.cervicornis.Aug13B_R1.fq"	74768	70514
"Acropora.cervicornis.Aug1A_R1.fq"	94865	93307
"Acropora.cervicornis.Aug1B_R1.fq"	82792	79943
"Acropora.cervicornis.Aug20A_R1.fq"	91416	87772
"Acropora.cervicornis.Aug20B_R1.fq"	105869	97965
"Acropora.cervicornis.Aug3A_R1.fq"	39784	30132
"Acropora.cervicornis.Aug3B_R1.fq"	29400	20924
"Acropora.cervicornis.Aug41A_R1.fq"	71631	69508
"Acropora.cervicornis.Aug41B_R1.fq"	95168	92380
"Acropora.cervicornis.Aug44A_R1.fq"	93824	85482
"Acropora.cervicornis.Aug44B_R1.fq"	80772	76542
"Acropora.cervicornis.Aug46A_R1.fq"	82394	80565
"Acropora.cervicornis.Aug46B_R1.fq"	98888	95866
"Acropora.cervicornis.Aug47A_R1.fq"	84958	80572
"Acropora.cervicornis.Aug47B_R1.fq"	76032	72278
"Acropora.cervicornis.Aug4A_R1.fq"	99267	97657
"Acropora.cervicornis.Aug4B_R1.fq"	100144	97116
"Acropora.cervicornis.Aug50A_R1.fq"	71852	66657
"Acropora.cervicornis.Aug50B_R1.fq"	51711	51292
"Acropora.cervicornis.Aug57A_R1.fq"	60747	57673
"Acropora.cervicornis.Aug57B_R1.fq"	51319	48712
"Acropora.cervicornis.Aug58A_R1.fq"	61183	60797
"Acropora.cervicornis.Aug58B_R1.fq"	63496	60427
"Acropora.cervicornis.Aug5A_R1.fq"	105436	103208
"Acropora.cervicornis.Aug5B_R1.fq"	86073	83270
"Acropora.cervicornis.Aug7A_R1.fq"	39070	27906
"Acropora.cervicornis.Aug7B_R1.fq"	25879	15932
"Acropora.cervicornis.Aug9A_R1.fq"	106490	97692
"Acropora.cervicornis.Aug9B_R1.fq"	52854	48358
"Acropora.cervicornis.Sep10A_R1.fq"	43985	19724
"Acropora.cervicornis.Sep10B_R1.fq"	94903	77572
"Acropora.cervicornis.Sep13A_R1.fq"	48545	33284
"Acropora.cervicornis.Sep13B_R1.fq"	57260	38520
"Acropora.cervicornis.Sep1A_R1.fq"	41531	29737
"Acropora.cervicornis.Sep1B_R1.fq"	31523	25681
"Acropora.cervicornis.Sep3A_R1.fq"	33203	15472
"Acropora.cervicornis.Sep3B_R1.fq"	34127	23938
"Acropora.cervicornis.Sep41A_R1.fq"	51661	34070
"Acropora.cervicornis.Sep41B_R1.fq"	84141	67587
"Acropora.cervicornis.Sep44A_R1.fq"	80494	65140
"Acropora.cervicornis.Sep44B_R1.fq"	71819	55040
"Acropora.cervicornis.Sep46A_R1.fq"	64031	53397
"Acropora.cervicornis.Sep46B_R1.fq"	51323	38461
"Acropora.cervicornis.Sep47A_R1.fq"	56647	45452
"Acropora.cervicornis.Sep47B_R1.fq"	99133	98162
"Acropora.cervicornis.Sep4A_R1.fq"	23904	16310
"Acropora.cervicornis.Sep4B_R1.fq"	23268	20537
"Acropora.cervicornis.Sep50A_R1.fq"	56494	41447
"Acropora.cervicornis.Sep50B_R1.fq"	70355	47338
"Acropora.cervicornis.Sep57A_R1.fq"	66167	52690
"Acropora.cervicornis.Sep57B_R1.fq"	67109	41683
"Acropora.cervicornis.Sep58A_R1.fq"	41032	32975
"Acropora.cervicornis.Sep58B_R1.fq"	27586	24133
"Acropora.cervicornis.Sep5A_R1.fq"	57662	35517
"Acropora.cervicornis.Sep5B_R1.fq"	43712	34810
"Acropora.cervicornis.Sep7A_R1.fq"	72901	55246
"Acropora.cervicornis.Sep7B_R1.fq"	46813	29656
"Acropora.cervicornis.Sep9A_R1.fq"	48478	31803
"Acropora.cervicornis.Sep9B_R1.fq"	46580	30251
