"reads.in"	"reads.out"
"Acropora.cervicornis.Aug10A_F_filt.fastq.gz"	89440	89440
"Acropora.cervicornis.Aug10B_F_filt.fastq.gz"	67312	67312
"Acropora.cervicornis.Aug13A_F_filt.fastq.gz"	35116	35116
"Acropora.cervicornis.Aug13B_F_filt.fastq.gz"	63164	63164
"Acropora.cervicornis.Aug1A_F_filt.fastq.gz"	84866	84866
"Acropora.cervicornis.Aug1B_F_filt.fastq.gz"	73000	73000
"Acropora.cervicornis.Aug20A_F_filt.fastq.gz"	80773	80773
"Acropora.cervicornis.Aug20B_F_filt.fastq.gz"	88906	88906
"Acropora.cervicornis.Aug3A_F_filt.fastq.gz"	25632	25632
"Acropora.cervicornis.Aug3B_F_filt.fastq.gz"	18053	18053
"Acropora.cervicornis.Aug41A_F_filt.fastq.gz"	63112	63112
"Acropora.cervicornis.Aug41B_F_filt.fastq.gz"	83430	83430
"Acropora.cervicornis.Aug44A_F_filt.fastq.gz"	77655	77655
"Acropora.cervicornis.Aug44B_F_filt.fastq.gz"	69215	69215
"Acropora.cervicornis.Aug46A_F_filt.fastq.gz"	73599	73599
"Acropora.cervicornis.Aug46B_F_filt.fastq.gz"	87066	87066
"Acropora.cervicornis.Aug47A_F_filt.fastq.gz"	73360	73360
"Acropora.cervicornis.Aug47B_F_filt.fastq.gz"	65266	65266
"Acropora.cervicornis.Aug4A_F_filt.fastq.gz"	88422	88422
"Acropora.cervicornis.Aug4B_F_filt.fastq.gz"	88262	88262
"Acropora.cervicornis.Aug50A_F_filt.fastq.gz"	58478	58478
"Acropora.cervicornis.Aug50B_F_filt.fastq.gz"	45819	45819
"Acropora.cervicornis.Aug57A_F_filt.fastq.gz"	50745	50745
"Acropora.cervicornis.Aug57B_F_filt.fastq.gz"	43432	43432
"Acropora.cervicornis.Aug58A_F_filt.fastq.gz"	54828	54828
"Acropora.cervicornis.Aug58B_F_filt.fastq.gz"	53928	53928
"Acropora.cervicornis.Aug5A_F_filt.fastq.gz"	92835	92835
"Acropora.cervicornis.Aug5B_F_filt.fastq.gz"	76000	76000
"Acropora.cervicornis.Aug7A_F_filt.fastq.gz"	24080	24080
"Acropora.cervicornis.Aug7B_F_filt.fastq.gz"	13724	13724
"Acropora.cervicornis.Aug9A_F_filt.fastq.gz"	88146	88146
"Acropora.cervicornis.Aug9B_F_filt.fastq.gz"	43009	43009
"Acropora.cervicornis.Sep10A_F_filt.fastq.gz"	16972	16972
"Acropora.cervicornis.Sep10B_F_filt.fastq.gz"	65940	65940
"Acropora.cervicornis.Sep13A_F_filt.fastq.gz"	28620	28620
"Acropora.cervicornis.Sep13B_F_filt.fastq.gz"	33143	33143
"Acropora.cervicornis.Sep1A_F_filt.fastq.gz"	25854	25854
"Acropora.cervicornis.Sep1B_F_filt.fastq.gz"	22467	22467
"Acropora.cervicornis.Sep3A_F_filt.fastq.gz"	12903	12903
"Acropora.cervicornis.Sep3B_F_filt.fastq.gz"	20551	20551
"Acropora.cervicornis.Sep41A_F_filt.fastq.gz"	29511	29511
"Acropora.cervicornis.Sep41B_F_filt.fastq.gz"	57848	57848
"Acropora.cervicornis.Sep44A_F_filt.fastq.gz"	57527	57527
"Acropora.cervicornis.Sep44B_F_filt.fastq.gz"	47121	47121
"Acropora.cervicornis.Sep46A_F_filt.fastq.gz"	46229	46229
"Acropora.cervicornis.Sep46B_F_filt.fastq.gz"	32877	32877
"Acropora.cervicornis.Sep47A_F_filt.fastq.gz"	39793	39793
"Acropora.cervicornis.Sep47B_F_filt.fastq.gz"	85686	85686
"Acropora.cervicornis.Sep4A_F_filt.fastq.gz"	13991	13991
"Acropora.cervicornis.Sep4B_F_filt.fastq.gz"	17466	17466
"Acropora.cervicornis.Sep50A_F_filt.fastq.gz"	35939	35939
"Acropora.cervicornis.Sep50B_F_filt.fastq.gz"	41087	41087
"Acropora.cervicornis.Sep57A_F_filt.fastq.gz"	45706	45706
"Acropora.cervicornis.Sep57B_F_filt.fastq.gz"	35715	35715
"Acropora.cervicornis.Sep58A_F_filt.fastq.gz"	28630	28630
"Acropora.cervicornis.Sep58B_F_filt.fastq.gz"	20796	20796
"Acropora.cervicornis.Sep5A_F_filt.fastq.gz"	30447	30447
"Acropora.cervicornis.Sep5B_F_filt.fastq.gz"	29927	29927
"Acropora.cervicornis.Sep7A_F_filt.fastq.gz"	47410	47410
"Acropora.cervicornis.Sep7B_F_filt.fastq.gz"	25329	25329
"Acropora.cervicornis.Sep9A_F_filt.fastq.gz"	27331	27331
"Acropora.cervicornis.Sep9B_F_filt.fastq.gz"	25939	25939
