"reads.in"	"reads.out"
"Acropora.cervicornis.Aug10A_F_filt.fastq.gz"	89440	88315
"Acropora.cervicornis.Aug10B_F_filt.fastq.gz"	67312	66503
"Acropora.cervicornis.Aug13A_F_filt.fastq.gz"	35116	34690
"Acropora.cervicornis.Aug13B_F_filt.fastq.gz"	63164	62423
"Acropora.cervicornis.Aug1A_F_filt.fastq.gz"	84866	83800
"Acropora.cervicornis.Aug1B_F_filt.fastq.gz"	73000	72130
"Acropora.cervicornis.Aug20A_F_filt.fastq.gz"	80773	79884
"Acropora.cervicornis.Aug20B_F_filt.fastq.gz"	88906	87832
"Acropora.cervicornis.Aug3A_F_filt.fastq.gz"	25632	25279
"Acropora.cervicornis.Aug3B_F_filt.fastq.gz"	18053	17818
"Acropora.cervicornis.Aug41A_F_filt.fastq.gz"	63112	62363
"Acropora.cervicornis.Aug41B_F_filt.fastq.gz"	83430	82434
"Acropora.cervicornis.Aug44A_F_filt.fastq.gz"	77655	76728
"Acropora.cervicornis.Aug44B_F_filt.fastq.gz"	69215	68375
"Acropora.cervicornis.Aug46A_F_filt.fastq.gz"	73599	72781
"Acropora.cervicornis.Aug46B_F_filt.fastq.gz"	87066	85968
"Acropora.cervicornis.Aug47A_F_filt.fastq.gz"	73360	72468
"Acropora.cervicornis.Aug47B_F_filt.fastq.gz"	65266	64418
"Acropora.cervicornis.Aug4A_F_filt.fastq.gz"	88422	87368
"Acropora.cervicornis.Aug4B_F_filt.fastq.gz"	88262	87227
"Acropora.cervicornis.Aug50A_F_filt.fastq.gz"	58478	57809
"Acropora.cervicornis.Aug50B_F_filt.fastq.gz"	45819	45261
"Acropora.cervicornis.Aug57A_F_filt.fastq.gz"	50745	50168
"Acropora.cervicornis.Aug57B_F_filt.fastq.gz"	43432	42900
"Acropora.cervicornis.Aug58A_F_filt.fastq.gz"	54828	54212
"Acropora.cervicornis.Aug58B_F_filt.fastq.gz"	53928	53235
"Acropora.cervicornis.Aug5A_F_filt.fastq.gz"	92835	91663
"Acropora.cervicornis.Aug5B_F_filt.fastq.gz"	76000	75057
"Acropora.cervicornis.Aug7A_F_filt.fastq.gz"	24080	23824
"Acropora.cervicornis.Aug7B_F_filt.fastq.gz"	13724	13547
"Acropora.cervicornis.Aug9A_F_filt.fastq.gz"	88146	87092
"Acropora.cervicornis.Aug9B_F_filt.fastq.gz"	43009	42421
"Acropora.cervicornis.Sep10A_F_filt.fastq.gz"	16972	16728
"Acropora.cervicornis.Sep10B_F_filt.fastq.gz"	65940	64943
"Acropora.cervicornis.Sep13A_F_filt.fastq.gz"	28620	28244
"Acropora.cervicornis.Sep13B_F_filt.fastq.gz"	33143	32648
"Acropora.cervicornis.Sep1A_F_filt.fastq.gz"	25854	25573
"Acropora.cervicornis.Sep1B_F_filt.fastq.gz"	22467	22178
"Acropora.cervicornis.Sep3A_F_filt.fastq.gz"	12903	12727
"Acropora.cervicornis.Sep3B_F_filt.fastq.gz"	20551	20302
"Acropora.cervicornis.Sep41A_F_filt.fastq.gz"	29511	29173
"Acropora.cervicornis.Sep41B_F_filt.fastq.gz"	57848	57092
"Acropora.cervicornis.Sep44A_F_filt.fastq.gz"	57527	56812
"Acropora.cervicornis.Sep44B_F_filt.fastq.gz"	47121	46435
"Acropora.cervicornis.Sep46A_F_filt.fastq.gz"	46229	45605
"Acropora.cervicornis.Sep46B_F_filt.fastq.gz"	32877	32436
"Acropora.cervicornis.Sep47A_F_filt.fastq.gz"	39793	39281
"Acropora.cervicornis.Sep47B_F_filt.fastq.gz"	85686	84589
"Acropora.cervicornis.Sep4A_F_filt.fastq.gz"	13991	13795
"Acropora.cervicornis.Sep4B_F_filt.fastq.gz"	17466	17228
"Acropora.cervicornis.Sep50A_F_filt.fastq.gz"	35939	35502
"Acropora.cervicornis.Sep50B_F_filt.fastq.gz"	41087	40538
"Acropora.cervicornis.Sep57A_F_filt.fastq.gz"	45706	45083
"Acropora.cervicornis.Sep57B_F_filt.fastq.gz"	35715	35238
"Acropora.cervicornis.Sep58A_F_filt.fastq.gz"	28630	28280
"Acropora.cervicornis.Sep58B_F_filt.fastq.gz"	20796	20523
"Acropora.cervicornis.Sep5A_F_filt.fastq.gz"	30447	30040
"Acropora.cervicornis.Sep5B_F_filt.fastq.gz"	29927	29565
"Acropora.cervicornis.Sep7A_F_filt.fastq.gz"	47410	46818
"Acropora.cervicornis.Sep7B_F_filt.fastq.gz"	25329	24951
"Acropora.cervicornis.Sep9A_F_filt.fastq.gz"	27331	26966
"Acropora.cervicornis.Sep9B_F_filt.fastq.gz"	25939	25590
